日期,时间,内容
03月08日,12:33,内蒙古新增2例本土确诊病例包头市中风险地区降至4个
03月08日,12:32,陕西昨日新增5例本土确诊病例均在西安市
03月08日,12:17,3月08日山西省最新疫情消息公布 山西•市县
03月08日,11:48,吉林市教育局关于进一步加强疫情防控宣传工作的通知
03月08日,11:44,陕西新增11例本土确诊病例
03月08日,11:39,山东威海出现聚集性疫情
03月08日,11:35,截至3月8日11时30分陕西疫情防疫最新数据统计消息情况公布
03月08日,11:31,3月7日 福建新增境外输入确诊病例1例
03月08日,11:30,截至3月8日11时00分海南疫情防疫最新数据统计消息情况公布
03月08日,11:29,珠海新增20宗香港输入新冠个案
03月08日,11:25,截至3月8日11时00分广西疫情防疫最新数据统计消息情况公布
03月08日,11:20,截至3月8日11时00分上海疫情防疫最新数据统计消息情况公布
03月08日,11:19,广西公布昨日新增本土确诊病例、本土无症状感染者具体分布情况
03月08日,11:19,江苏省盐南高新区市场监管局把好“五关”强化农贸市场疫情防控
03月08日,11:15,截至3月8日11时00分江苏疫情防疫最新数据统计消息情况公布
03月08日,11:11,科技部长：在疫苗研发方面，中国与英美等国有很好的协作
03月08日,11:10,截至3月8日11时00分江西疫情防疫最新数据统计消息情况公布
03月08日,11:09,吉林市人社局全面投入疫情防控工作
03月08日,11:05,截至3月8日11时00分福建疫情防疫最新数据统计消息情况公布
03月08日,11:00,截至3月8日10时53分吉林疫情防疫最新数据统计消息情况公布
03月08日,10:55,截至3月8日10时53分山东疫情防疫最新数据统计消息情况公布
03月08日,10:53,甘肃：本次疫情确诊病例感染的新冠病毒为奥密克戎变异株
03月08日,10:52,3月7日广西确诊病例及无症状感染者分布情况公布
03月08日,10:50,截至3月8日10时49分四川疫情防疫最新数据统计消息情况公布
03月08日,10:44,吉林省吉林市通报昨日新增确诊病例和无症状感染者详情
03月08日,10:42,山东1市新增3例境外输入确诊病例、1例境外输入无症状感染者
03月08日,10:40,截至3月8日10时39分重庆疫情防疫最新数据统计消息情况公布
03月08日,10:39,广东新增本土确诊病例45例和无症状感染者73例
03月08日,10:35,截至3月8日10时32分湖南疫情防疫最新数据统计消息情况公布
03月08日,10:32,天津首个HPV疫苗接种及宫颈病变诊治一体化门诊开诊
03月08日,10:30,截至3月8日10时27分河南疫情防疫最新数据统计消息情况公布
03月08日,10:25,北京双榆树西里社区核酸检测已基本完成
03月08日,10:25,截至3月8日10时20分浙江疫情防疫最新数据统计消息情况公布
03月08日,10:15,截至3月8日10时10分湖北疫情防疫最新数据统计消息情况公布
03月08日,10:06,3月8日云南艺术学院呈贡校区疫情最新通报
03月08日,10:05,截至3月8日10时02分香港疫情防疫最新数据统计消息情况公布
03月08日,10:01,辽宁沈阳公布10例新冠病毒核酸检测阳性感染者详情
03月08日,10:00,河北省疫情防控视频调度会在石家庄市召开
03月08日,10:00,截至3月8日09时58分澳门疫情防疫最新数据统计消息情况公布
收起全部

