地区,新增,现有,累计,治愈,死亡
台湾,29,6274,20869,13742,853
广东,92,1453,5462,4001,8
上海,40,595,4602,4000,7
广西,18,323,1219,894,2
浙江,6,272,2292,2019,1
山东,54,245,1349,1097,7
内蒙古,2,197,1656,1458,1
吉林,46,183,775,589,3
北京,22,157,1554,1388,9
辽宁,4,155,1035,878,2
四川,2,136,1522,1383,3
云南,6,93,1982,1887,2
福建,1,93,1587,1493,1
江苏,10,86,1802,1716,0
湖北,0,60,68380,63808,4512
天津,6,52,1158,1103,3
河北,4,39,1515,1469,7
甘肃,17,36,400,362,2
河南,0,29,2690,2639,22
黑龙江,1,28,2094,2053,13
山西,1,22,290,268,0
陕西,15,17,2843,2823,3
重庆,0,11,624,607,6
湖南,0,4,1235,1227,4
安徽,0,4,1013,1003,6
海南,0,3,193,184,6
澳门,0,3,82,79,0
新疆,0,0,996,993,3
江西,0,0,959,958,1
贵州,0,0,162,160,2
宁夏,0,0,122,122,0
青海,0,0,30,30,0
西藏,0,0,1,1,0
