地区,省市,新增本土,现有病例
青岛,山东,41,186
东莞,广东,31,177
吉林市,吉林,28,88
长春,吉林,17,36
深圳,广东,13,320
西安,陕西,13,15
连云港,江苏,10,19
兰州,甘肃,8,20
上海,,4,595
衢州,浙江,4,4
沈阳,辽宁,3,4
德宏州,云南,3,30
天津,,3,52
威海,山东,2,2
呼和浩特,内蒙古,2,163
昆明,云南,2,2
邢台,河北,2,22
石家庄,河北,2,10
惠州,广东,1,8
崇左,广西,1,1
延边,吉林,1,31
北京,,1,157
白银,甘肃,1,1
酒泉,甘肃,1,1
运城,山西,1,1
汉中,陕西,1,1
宝鸡,陕西,1,1
珠海,广东,0,38
云浮,广东,-,7
中山,广东,0,3
广州,广东,0,2
梅州,广东,0,2
河源,广东,0,2
百色,广西,0,80
防城港,广西,0,51
南宁,广西,0,1
杭州,浙江,0,115
宁波,浙江,0,38
温州,浙江,0,2
金华,浙江,0,2
绍兴,浙江,0,1
嘉兴,浙江,0,1
包头,内蒙古,0,20
呼伦贝尔,内蒙古,0,10
鄂尔多斯,内蒙古,0,3
巴彦淖尔,内蒙古,0,1
葫芦岛,辽宁,0,142
成都,四川,0,36
眉山,四川,0,1
红河州,云南,0,17
临沧,云南,0,11
西双版纳傣族自治州,云南,0,5
文山,云南,0,3
保山,云南,0,1
苏州,江苏,0,39
无锡,江苏,0,3
徐州,江苏,0,1
南通,江苏,0,1
武汉,湖北,0,39
保定,河北,0,5
邯郸,河北,0,2
郑州,河南,0,1
牡丹江,黑龙江,0,10
哈尔滨,黑龙江,0,7
鸡西,黑龙江,0,4
黑河,黑龙江,0,1
晋中,山西,0,15
太原,山西,0,5
忻州,山西,0,1
重庆,,0,11
怀化,湖南,0,1
三亚,海南,0,3
